2026-03-29T15:16:45+00:00
Running build/linux/arm64/release/bench_ws
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.66, 1.34, 1.10
----------------------------------------------------------------------------
Benchmark                  Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------
BM_WsMasking/64         2.91 ns         2.91 ns    240521071 bytes_per_second=20.4843Gi/s
BM_WsMasking/128        4.08 ns         4.08 ns    171586117 bytes_per_second=29.2138Gi/s
BM_WsMasking/256        8.69 ns         8.69 ns     80646243 bytes_per_second=27.4223Gi/s
BM_WsMasking/512        23.0 ns         23.0 ns     30614579 bytes_per_second=20.7756Gi/s
BM_WsMasking/1024       56.9 ns         56.9 ns     12276611 bytes_per_second=16.7485Gi/s
BM_WsEncode/64          6.48 ns         6.48 ns    108030358 bytes_per_second=9.20041Gi/s
BM_WsEncode/128         10.1 ns         10.1 ns     69630937 bytes_per_second=11.8587Gi/s
BM_WsEncode/256         10.3 ns         10.3 ns     67930713 bytes_per_second=23.1345Gi/s
BM_WsEncode/512         19.9 ns         19.9 ns     34898518 bytes_per_second=23.949Gi/s
BM_WsEncode/1024        48.0 ns         48.0 ns     14571428 bytes_per_second=19.8559Gi/s
BM_WsDecode/64          1.81 ns         1.81 ns    386523936
BM_WsDecode/128         2.50 ns         2.50 ns    279705851
BM_WsDecode/256         2.50 ns         2.50 ns    279702259
BM_WsDecode/512         2.50 ns         2.50 ns    279703104
BM_WsDecode/1024        2.50 ns         2.50 ns    279709202
