2026-03-29T15:19:45+00:00
Running build/linux/arm64/release/bench_fix_parse
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 0.87, 1.29, 1.13
------------------------------------------------------------------------------------
Benchmark                          Time             CPU   Iterations UserCounters...
------------------------------------------------------------------------------------
BM_FixParseNewOrder              224 ns          224 ns      3128733 bytes_per_second=566.918Mi/s items_per_second=4.4696M/s
BM_FixParseMarketData            368 ns          368 ns      1898902 bytes_per_second=613.461Mi/s items_per_second=2.71418M/s
BM_FixParseFieldCount/0          229 ns          229 ns      3064154 bytes_per_second=554.855Mi/s items_per_second=4.3745M/s
BM_FixParseFieldCount/10         354 ns          354 ns      1976517 bytes_per_second=595.331Mi/s items_per_second=2.82466M/s
BM_FixParseFieldCount/50         921 ns          921 ns       759684 bytes_per_second=643.133Mi/s items_per_second=1.08595M/s
BM_FixParseFieldCount/100       1617 ns         1617 ns       433038 bytes_per_second=661.921Mi/s items_per_second=618.604k/s
BM_FixFieldLookup               23.3 ns         23.3 ns     30047291 items_per_second=42.959M/s
BM_FixBuildNewOrder              163 ns          163 ns      4294098 items_per_second=6.13706M/s
BM_FixBuildWithTimestamp         151 ns          151 ns      4646484 items_per_second=6.63471M/s
BM_FixBuildMarketData            260 ns          260 ns      2688034 items_per_second=3.84077M/s
BM_FixBuildResetReuse           50.2 ns         50.2 ns     13949976 items_per_second=19.9394M/s
BM_FixFramerDecode              22.5 ns         22.5 ns     31094566 bytes_per_second=5.50087Gi/s items_per_second=44.4099M/s
BM_FixChecksum                  16.8 ns         16.8 ns     41744426 bytes_per_second=7.39243Gi/s
BM_FixBuildParseRoundtrip        219 ns          219 ns      3203399 items_per_second=4.57281M/s
