2026-03-29T15:22:04+00:00
Running build/linux/arm64/release/bench_tcp_header
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.37, 1.35, 1.17
---------------------------------------------------------------------------------
Benchmark                       Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------
BM_Checksum/64               2.61 ns         2.61 ns    268219820 bytes_per_second=22.8544Gi/s
BM_Checksum/128              4.03 ns         4.03 ns    173027006 bytes_per_second=29.5463Gi/s
BM_Checksum/256              6.93 ns         6.93 ns    100994981 bytes_per_second=34.4202Gi/s
BM_Checksum/512              12.6 ns         12.6 ns     55564063 bytes_per_second=37.7981Gi/s
BM_Checksum/1024             24.1 ns         24.1 ns     29039121 bytes_per_second=39.6072Gi/s
BM_TcpHeaderBuild/64         27.0 ns         27.0 ns     25887453
BM_TcpHeaderBuild/128        29.7 ns         29.7 ns     23563452
BM_TcpHeaderBuild/256        32.3 ns         32.3 ns     21655714
BM_TcpHeaderBuild/512        39.0 ns         39.0 ns     17930429
BM_TcpHeaderBuild/1024       51.1 ns         51.1 ns     13698150
BM_TcpHeaderParse/64        0.940 ns        0.940 ns    744858635
BM_TcpHeaderParse/128       0.940 ns        0.940 ns    744946345
BM_TcpHeaderParse/256       0.940 ns        0.940 ns    744729227
BM_TcpHeaderParse/512       0.940 ns        0.940 ns    744842094
BM_TcpHeaderParse/1024      0.940 ns        0.940 ns    744876096
