2026-03-29T15:21:28+00:00
Running build/linux/arm64/release/bench_ws
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.66, 1.39, 1.18
----------------------------------------------------------------------------
Benchmark                  Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------
BM_WsMasking/64         2.91 ns         2.91 ns    240539232 bytes_per_second=20.4853Gi/s
BM_WsMasking/128        4.08 ns         4.08 ns    171716694 bytes_per_second=29.2311Gi/s
BM_WsMasking/256        8.67 ns         8.67 ns     80827259 bytes_per_second=27.4884Gi/s
BM_WsMasking/512        23.0 ns         23.0 ns     30537958 bytes_per_second=20.775Gi/s
BM_WsMasking/1024       56.9 ns         56.9 ns     12283081 bytes_per_second=16.7532Gi/s
BM_WsEncode/64          7.03 ns         7.03 ns     99953955 bytes_per_second=8.48008Gi/s
BM_WsEncode/128         11.1 ns         11.1 ns     64454243 bytes_per_second=10.7277Gi/s
BM_WsEncode/256         10.7 ns         10.7 ns     65367629 bytes_per_second=22.2696Gi/s
BM_WsEncode/512         20.4 ns         20.4 ns     34445216 bytes_per_second=23.4188Gi/s
BM_WsEncode/1024        48.0 ns         48.0 ns     14596990 bytes_per_second=19.8819Gi/s
BM_WsDecode/64          1.81 ns         1.81 ns    387473487
BM_WsDecode/128         2.50 ns         2.50 ns    279582577
BM_WsDecode/256         2.50 ns         2.50 ns    279552186
BM_WsDecode/512         2.50 ns         2.50 ns    279623963
BM_WsDecode/1024        2.50 ns         2.50 ns    279599394
