2026-03-29T15:07:47+00:00
Running build/linux/arm64/release/bench_tcp_header
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.20, 0.81, 0.69
---------------------------------------------------------------------------------
Benchmark                       Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------
BM_Checksum/64               2.61 ns         2.61 ns    268456342 bytes_per_second=22.8261Gi/s
BM_Checksum/128              4.05 ns         4.05 ns    172868970 bytes_per_second=29.4326Gi/s
BM_Checksum/256              6.92 ns         6.92 ns    101098185 bytes_per_second=34.4301Gi/s
BM_Checksum/512              12.6 ns         12.6 ns     55497180 bytes_per_second=37.7562Gi/s
BM_Checksum/1024             24.2 ns         24.2 ns     29007647 bytes_per_second=39.4855Gi/s
BM_TcpHeaderBuild/64         27.0 ns         27.0 ns     25886064
BM_TcpHeaderBuild/128        29.7 ns         29.7 ns     23559095
BM_TcpHeaderBuild/256        32.3 ns         32.3 ns     21658614
BM_TcpHeaderBuild/512        39.0 ns         39.0 ns     17929329
BM_TcpHeaderBuild/1024       51.1 ns         51.1 ns     13687190
BM_TcpHeaderParse/64        0.940 ns        0.940 ns    744772672
BM_TcpHeaderParse/128       0.940 ns        0.940 ns    744893597
BM_TcpHeaderParse/256       0.940 ns        0.940 ns    744851359
BM_TcpHeaderParse/512       0.940 ns        0.940 ns    744920129
BM_TcpHeaderParse/1024      0.940 ns        0.940 ns    744807215
