2026-03-29T15:33:41+00:00
Running build/linux/arm64/release/bench_tcp_header
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.23, 1.18, 1.13
---------------------------------------------------------------------------------
Benchmark                       Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------
BM_Checksum/64               2.61 ns         2.61 ns    268301623 bytes_per_second=22.8554Gi/s
BM_Checksum/128              4.05 ns         4.05 ns    173282323 bytes_per_second=29.4589Gi/s
BM_Checksum/256              6.96 ns         6.96 ns    100845236 bytes_per_second=34.2565Gi/s
BM_Checksum/512              12.6 ns         12.6 ns     55406824 bytes_per_second=37.7414Gi/s
BM_Checksum/1024             24.2 ns         24.2 ns     28985581 bytes_per_second=39.4555Gi/s
BM_TcpHeaderBuild/64         27.0 ns         27.0 ns     25883332
BM_TcpHeaderBuild/128        29.7 ns         29.7 ns     23562319
BM_TcpHeaderBuild/256        32.3 ns         32.3 ns     21654030
BM_TcpHeaderBuild/512        39.1 ns         39.1 ns     17929393
BM_TcpHeaderBuild/1024       51.3 ns         51.3 ns     13687930
BM_TcpHeaderParse/64        0.940 ns        0.940 ns    744751333
BM_TcpHeaderParse/128       0.940 ns        0.940 ns    744859388
BM_TcpHeaderParse/256       0.940 ns        0.940 ns    744870421
BM_TcpHeaderParse/512       0.940 ns        0.940 ns    744981277
BM_TcpHeaderParse/1024      0.940 ns        0.940 ns    744985407
