2026-03-29T15:33:05+00:00
Running build/linux/arm64/release/bench_ws
Run on (16 X 2000 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x16)
  L1 Instruction 64 KiB (x16)
  L2 Unified 2048 KiB (x16)
  L3 Unified 36864 KiB (x1)
Load Average: 1.46, 1.21, 1.14
----------------------------------------------------------------------------
Benchmark                  Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------
BM_WsMasking/64         2.91 ns         2.91 ns    240523028 bytes_per_second=20.485Gi/s
BM_WsMasking/128        4.08 ns         4.08 ns    171631979 bytes_per_second=29.2252Gi/s
BM_WsMasking/256        8.66 ns         8.66 ns     80281096 bytes_per_second=27.5313Gi/s
BM_WsMasking/512        22.9 ns         22.9 ns     30504637 bytes_per_second=20.8Gi/s
BM_WsMasking/1024       56.9 ns         56.9 ns     12298943 bytes_per_second=16.7485Gi/s
BM_WsEncode/64          6.46 ns         6.46 ns    108276124 bytes_per_second=9.22032Gi/s
BM_WsEncode/128         10.0 ns         10.0 ns     69742659 bytes_per_second=11.8764Gi/s
BM_WsEncode/256         11.3 ns         11.3 ns     65917023 bytes_per_second=21.025Gi/s
BM_WsEncode/512         19.9 ns         19.9 ns     35126144 bytes_per_second=23.9851Gi/s
BM_WsEncode/1024        48.0 ns         48.0 ns     14576262 bytes_per_second=19.8578Gi/s
BM_WsDecode/64          1.80 ns         1.80 ns    388011354
BM_WsDecode/128         2.50 ns         2.50 ns    279714720
BM_WsDecode/256         2.50 ns         2.50 ns    279715309
BM_WsDecode/512         2.50 ns         2.50 ns    279715574
BM_WsDecode/1024        2.50 ns         2.50 ns    279708316
